,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,compass_1,compass_2,compass_3
5036,21.61,39.16,-0.1936,-0.0243,0.9803,-0.0306,44.43,184.3,183.68,331.87
5037,21.46,41.11,-0.2195,-0.0247,0.9746,-0.0371,50.44,185.27,184.08,334.57
5038,21.76,39.01,-0.1721,-0.0251,0.9842,-0.0344,39.39,184.65,183.73,329.62
5039,20.86,40.21,-0.129,-0.0417,0.9906,-0.018,29.44,182.75,185.17,333.6
5040,22.36,39.16,-0.1549,-0.0648,0.9858,-0.0096,35.41,182.34,187.88,334.21
5041,22.81,40.51,-0.1948,-0.08,0.9775,-0.0085,44.62,182.96,189.94,332.84
5042,22.51,39.46,-0.2111,-0.0842,0.9738,-0.0039,48.46,182.71,190.46,330.46
5043,21.76,40.51,-0.2269,-0.0898,0.9697,0.0133,52.53,180.96,190.81,330.21
5044,22.51,40.06,-0.2968,-0.1016,0.9491,0.0275,69.37,180.56,192.39,336.25
5045,23.26,38.71,-0.389,-0.1136,0.9137,0.0313,91.77,182.57,195.27,332.7
5046,22.06,41.11,-0.455,-0.1191,0.8815,0.0412,108.58,183.51,197.19,331.44
5047,25.06,40.06,-0.5547,-0.1387,0.8155,0.0896,136.73,181.21,200.13,334.4
5048,24.91,40.66,-0.7345,-0.1612,0.6427,0.1463,164.91,338.14,3.31,335.12
5049,28.06,40.51,-0.8944,-0.1824,0.3688,0.1756,92.72,343.44,15.08,336.84
5050,30.61,41.56,-0.9627,-0.1894,0.0822,0.1747,25.94,339.83,18.26,339.81
5051,31.96,42.16,-0.9083,-0.1417,-0.3583,0.1626,285.57,331.99,29.9,344.02
5052,34.66,41.11,-0.5448,-0.0363,-0.836,0.054,229.81,197.98,163.49,343.14
5053,40.96,41.71,0.0221,0.0787,-0.9952,-0.0541,6.02,174.01,188.89,348.81
5054,46.51,37.06,0.535,0.1497,-0.8238,-0.1126,132.47,176.39,198.24,352.28
